ID	Gene Name	Species
SMA1450	acetyl-CoA C-acyltransferase(SM2011_RS03990)	Sinorhizobium meliloti 2011	
SMC00262	acetyl-CoA acetyltransferase(SM2011_RS22975)	Sinorhizobium meliloti 2011	
SMC00690	acetyl-CoA carboxylase carboxyltransferase subunit alpha(SM2011_RS28045)	Sinorhizobium meliloti 2011	
SMC02764	acetyl-CoA carboxylase, carboxyltransferase subunit beta(accD)	Sinorhizobium meliloti 2011	
SMC01726	acetylglutamate kinase(argB)	Sinorhizobium meliloti 2011	
SM_B20765	acetyltransferase(SM2011_RS13755)	Sinorhizobium meliloti 2011	
SMC04221	acetyltransferase(SM2011_RS24005)	Sinorhizobium meliloti 2011	
SMA1409	acyl CoA:acetate/3-ketoacid CoA transferase(SM2011_RS03875)	Sinorhizobium meliloti 2011	
SMC04399	acyl CoA:acetate/3-ketoacid CoA transferase(SM2011_RS31230)	Sinorhizobium meliloti 2011	
SM_B20755	acyl-CoA carboxylase subunit beta(SM2011_RS13705)	Sinorhizobium meliloti 2011	
SMC00168	acyl-homoserine-lactone synthase(SM2011_RS23755)	Sinorhizobium meliloti 2011	
SM_B20810	acyltransferase(SM2011_RS09440)	Sinorhizobium meliloti 2011	
SM_B21188	acyltransferase(SM2011_RS10895)	Sinorhizobium meliloti 2011	
SM_B21427	acyltransferase(SM2011_RS12780)	Sinorhizobium meliloti 2011	
SMC02698	adenine phosphoribosyltransferase(SM2011_RS26390)	Sinorhizobium meliloti 2011	
SMC02846	adenosine kinase(SM2011_RS15195)	Sinorhizobium meliloti 2011	
SMC01288	adenylate kinase(SM2011_RS21345)	Sinorhizobium meliloti 2011	
SMA1495	alanine--glyoxylate aminotransferase family protein(SM2011_RS04110)	Sinorhizobium meliloti 2011	
SMA0233	alpha,alpha-trehalose-phosphate synthase (UDP-forming)(otsA)	Sinorhizobium meliloti 2011	
SM_B20099	alpha-amylase family protein(SM2011_RS07070)	Sinorhizobium meliloti 2011	
SMC04013	aminodeoxychorismate synthase component I(SM2011_RS28620)	Sinorhizobium meliloti 2011	
SMC03094	aminoglycoside 3'-phosphotransferase(SM2011_RS29660)	Sinorhizobium meliloti 2011	
SMC01228	aminoglycoside phosphotransferase family protein(SM2011_RS22280)	Sinorhizobium meliloti 2011	
SMC04360	aminoglycoside phosphotransferase family protein(SM2011_RS24950)	Sinorhizobium meliloti 2011	
SMC01340	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme(SM2011_RS21055)	Sinorhizobium meliloti 2011	
SM_B20973	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme(SM2011_RS12060)	Sinorhizobium meliloti 2011	
SMC00677	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme(SM2011_RS28105)	Sinorhizobium meliloti 2011	
SMC01969	aminotransferase(SM2011_RS27110)	Sinorhizobium meliloti 2011	
SMC00527	anhydro-N-acetylmuramic acid kinase(SM2011_RS23255)	Sinorhizobium meliloti 2011	
SMC00235	anthranilate phosphoribosyltransferase(trpD)	Sinorhizobium meliloti 2011	
SMC01111	apolipoprotein N-acyltransferase(lnt)	Sinorhizobium meliloti 2011	
SMC01764	arginyltransferase(SM2011_RS20430)	Sinorhizobium meliloti 2011	
SMA1683	arylsulfatase(SM2011_RS04620)	Sinorhizobium meliloti 2011	
SMA1761	aspartate aminotransferase family protein(SM2011_RS04860)	Sinorhizobium meliloti 2011	
SM_B20277	aspartate aminotransferase family protein(SM2011_RS07930)	Sinorhizobium meliloti 2011	
SM_B20379	aspartate aminotransferase family protein(SM2011_RS08430)	Sinorhizobium meliloti 2011	
SM_B20423	aspartate aminotransferase family protein(SM2011_RS08640)	Sinorhizobium meliloti 2011	
SMC02138	aspartate aminotransferase family protein(SM2011_RS16930)	Sinorhizobium meliloti 2011	
SMC01534	aspartate aminotransferase family protein(SM2011_RS26610)	Sinorhizobium meliloti 2011	
SMC02413	aspartate aminotransferase family protein(SM2011_RS27540)	Sinorhizobium meliloti 2011	
SMC04388	aspartate aminotransferase family protein(SM2011_RS31175)	Sinorhizobium meliloti 2011	
SMC01360	aspartate carbamoyltransferase catalytic subunit(SM2011_RS20965)	Sinorhizobium meliloti 2011	
SMC02438	aspartate kinase(SM2011_RS27695)	Sinorhizobium meliloti 2011	
SMC00327	beta-ketoacyl-ACP synthase I(fabB)	Sinorhizobium meliloti 2011	
SMC00574	beta-ketoacyl-ACP synthase II(fabF)	Sinorhizobium meliloti 2011	
SMC04273	beta-ketoacyl-ACP synthase(SM2011_RS24245)	Sinorhizobium meliloti 2011	
SMC04275	beta-ketoacyl-ACP synthase(SM2011_RS24250)	Sinorhizobium meliloti 2011	
SMC02659	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase(SM2011_RS19745)	Sinorhizobium meliloti 2011	
SMC02440	bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase(SM2011_RS27705)	Sinorhizobium meliloti 2011	
SMC00946	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase(SM2011_RS22710)	Sinorhizobium meliloti 2011	
SMC00232	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU(glmU)	Sinorhizobium meliloti 2011	
SMC02368	bifunctional [glutamine synthetase] adenylyltransferase/[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase(SM2011_RS19540)	Sinorhizobium meliloti 2011	
SMC04305	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase(cobU)	Sinorhizobium meliloti 2011	
SMC01155	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE(ubiE)	Sinorhizobium meliloti 2011	
SMC02450	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ(argJ)	Sinorhizobium meliloti 2011	
SMC02841	bifunctional helix-turn-helix domain-containing protein/methylated-DNA--[protein]-cysteine S-methyltransferase(SM2011_RS15170)	Sinorhizobium meliloti 2011	
SM_B20962	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase(thiD)	Sinorhizobium meliloti 2011	
SMC04088	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase(purH)	Sinorhizobium meliloti 2011	
SMC00909	bifunctional riboflavin kinase/FAD synthetase(SM2011_RS18370)	Sinorhizobium meliloti 2011	
SMC02757	bifunctional tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE/phosphotransferase(SM2011_RS14495)	Sinorhizobium meliloti 2011	
SMC02896	branched-chain amino acid aminotransferase(SM2011_RS15450)	Sinorhizobium meliloti 2011	
SMC00042	branched-chain amino acid aminotransferase(SM2011_RS19265)	Sinorhizobium meliloti 2011	
SMA0697	carbamate kinase(arcC)	Sinorhizobium meliloti 2011	
SM_B21462	carbohydrate kinase family protein(SM2011_RS12940)	Sinorhizobium meliloti 2011	
SMC00473	carbohydrate kinase family protein(SM2011_RS23560)	Sinorhizobium meliloti 2011	
SM_B20497	carbohydrate kinase(SM2011_RS09005)	Sinorhizobium meliloti 2011	
