sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
579,SMa0866,,,,,,
580,SMa0868,,,,,,
581,SMa0869,,,,,,
582,SMa0875,,,,,,
583,SMa0876,,,,,,
584,SMa0878,,,,,,
585,SMc02575,,,,,,
586,SMc02576,,,,,,
587,SMc02615,,,,,,
588,SMc02854,,,,,,
589,SMc02857,,,,,,
590,SMc02868,,,,,,
591,SMc02890,,,,,,
592,SMc02911,,,,,,
593,SMc00320,,,,,,
594,SMc00324,,,,,,
595,SMc00332,,,,,,
596,SMc00335,,,,,,
597,SMc00353,,,,,,
598,SMc00362,,,,,,
599,SMc00365,,,,,,
600,SMc00371,,,,,,
601,SMc00397,,,,,,
602,SMc00399,,,,,,
603,SMc01160,,,,,,
604,SMc01159,,,,,,
605,SMc01142,,,,,,
606,SMc01106,,,,,,
607,SMc01104,,,,,,
608,SMc01095,,,,,,
609,SMc01092,,,,,,
610,SMc01720,,,,,,
611,SMc02171,,,,,,
612,SMc02156,,,,,,
613,SMc02254,,,,,,
614,SMc02255,,,,,,
615,SMc03004,,,,,,
616,SMc03006,,,,,,
617,SMc03007,,,,,,
618,SMc03009,,,,,,
619,SMc03010,,,,,,
620,SMc03011,,,,,,
621,SMc03012,,,,,,
622,SMc03014,,,,,,
623,SMc03017,,,,,,
624,SMc03019,,,,,,
625,SMc03020,,,,,,
626,SMc03021,,,,,,
627,SMc03022,,,,,,
628,SMc03023,,,,,,
629,SMc03024,,,,,,
630,SMc03025,,,,,,
631,SMc03026,,,,,,
632,SMc03027,,,,,,
633,SMc03028,,,,,,
634,SMc03029,,,,,,
635,SMc03030,,,,,,
636,SMc03031,,,,,,
637,SMc03032,,,,,,
638,SMc03033,,,,,,
639,SMc03034,,,,,,
640,SMc03035,,,,,,
641,SMc03037,,,,,,
642,SMc03038,,,,,,
643,SMc03039,,,,,,
644,SMc03040,,,,,,
645,SMc03041,,,,,,
646,SMc03042,,,,,,
647,SMc03043,,,,,,
648,SMc03044,,,,,,
649,SMc03045,,,,,,
650,SMc03046,,,,,,
651,SMc03047,,,,,,
652,SMc03048,,,,,,
653,SMc03049,,,,,,
654,SMc03050,,,,,,
655,SMc03051,,,,,,
656,SMc03052,,,,,,
657,SMc03054,,,,,,
658,SMc03071,,,,,,
659,SMc03072,,,,,,
660,SMc03057,,,,,,
661,SMc00765,,,,,,
662,SMc00801,,,,,,
663,SMc00815,,,,,,
664,SMc00821,,,,,,
665,SMc00830,,,,,,
666,SMc00926,,,,,,
667,SMc00913,,,,,,
668,SMc00912,,,,,,
669,SMc00908,,,,,,
670,SMc00888,,,,,,
671,SMc00887,,,,,,
672,SMc00986,,,,,,
673,SMc00980,,,,,,
674,SMc00975,,,,,,
675,SMc00014,,,,,,
676,SMc00084,,,,,,
677,SMc00092,,,,,,
678,SMc00097,,,,,,
679,SMc00040,,,,,,
680,SMc00105,,,,,,
681,SMc00045,,,,,,
682,SMc00062,,,,,,
683,SMc02601,,,,,,
