camp_lodi,camp_verb,lodi_verb
SinmeB_5349,SinmeB_1547,SinmeB_2257
SinmeB_1207,SinmeB_3814,SinmeB_2448
SinmeB_6237,SinmeB_0406,SinmeB_1419
SinmeB_1636,SinmeB_5347,SinmeB_5352
SinmeB_0741,SinmeB_2039,SinmeB_2250
SinmeB_1206,SinmeB_4839,SinmeB_0728
SinmeB_1560,SinmeB_2183,SinmeB_6358
SinmeB_1132,SinmeB_5347,SinmeB_1454
SinmeB_1058,SinmeB_5348,SinmeB_5276
SinmeB_2251,SinmeB_3163,SinmeB_5349
SinmeB_1479,SinmeB_0727,SinmeB_1207
SinmeB_3814,SinmeB_1160,SinmeB_6268
SinmeB_5345,SinmeB_2583,SinmeB_1604
SinmeB_2039,SinmeB_0882,SinmeB_1636
SinmeB_2183,SinmeB_0817,SinmeB_0741
SinmeB_5348,SinmeB_1002,SinmeB_1560
SinmeB_1012,SinmeB_0329,SinmeB_1132
SinmeB_1594,SinmeB_2204,SinmeB_1479
SinmeB_3803,SinmeB_1481,SinmeB_0726
SinmeB_0727,SinmeB_5344,SinmeB_1547
SinmeB_1160,SinmeB_3317,SinmeB_5347
SinmeB_1002,SinmeB_0438,SinmeB_0406
SinmeB_5344,SinmeB_1341,SinmeB_5345
SinmeB_0438,SinmeB_5344,SinmeB_4839
SinmeB_5344,SinmeB_1057,SinmeB_5347
SinmeB_3866,SinmeB_0572,SinmeB_1012
SinmeB_3793,SinmeB_4986,SinmeB_1594
SinmeB_0572,SinmeB_3317,SinmeB_3803
SinmeB_5345,SinmeB_0406,SinmeB_3163
SinmeB_2040,SinmeB_0648,SinmeB_2583
SinmeB_3666,SinmeB_4136,SinmeB_0817
SinmeB_5349,SinmeB_4847,SinmeB_0882
SinmeB_1532,SinmeB_5275,SinmeB_0329
SinmeB_3617,SinmeB_0733,SinmeB_2204
SinmeB_5275,SinmeB_1624,SinmeB_3317
SinmeB_6376,SinmeB_0818,SinmeB_1481
SinmeB_0733,SinmeB_1482,SinmeB_1341
SinmeB_0818,SinmeB_0804,SinmeB_3793
SinmeB_2780,SinmeB_5353,SinmeB_3866
SinmeB_3745,SinmeB_1289,SinmeB_1057
SinmeB_3666,SinmeB_5348,SinmeB_3317
SinmeB_1482,SinmeB_3868,SinmeB_0406
SinmeB_0804,SinmeB_0337,SinmeB_5345
SinmeB_5353,SinmeB_2207,SinmeB_4986
SinmeB_1289,SinmeB_3292,SinmeB_5349
SinmeB_5348,SinmeB_2756,SinmeB_3666
SinmeB_0337,SinmeB_1767,SinmeB_2040
SinmeB_0741,SinmeB_1005,SinmeB_1532
SinmeB_2207,SinmeB_2223,SinmeB_4847
SinmeB_3292,SinmeB_2024,SinmeB_0648
SinmeB_4964,SinmeB_3164,SinmeB_3617
SinmeB_2756,SinmeB_1767,SinmeB_4136
SinmeB_6197,SinmeB_6209,SinmeB_6376
SinmeB_6420,SinmeB_2438,SinmeB_1624
SinmeB_2257,SinmeB_2772,SinmeB_3745
SinmeB_3164,SinmeB_5352,SinmeB_3666
SinmeB_2604,SinmeB_3139,SinmeB_2780
SinmeB_2438,SinmeB_2217,SinmeB_3868
SinmeB_2772,SinmeB_0759,SinmeB_0741
SinmeB_0487,SinmeB_2388,SinmeB_4964
SinmeB_0636,SinmeB_2255,SinmeB_1767
SinmeB_3092,SinmeB_0992,SinmeB_1005
SinmeB_1483,SinmeB_0437,SinmeB_6197
SinmeB_2217,SinmeB_3139,SinmeB_6420
SinmeB_0759,SinmeB_3014,SinmeB_2024
SinmeB_0992,SinmeB_0717,SinmeB_2223
SinmeB_0579,SinmeB_2251,SinmeB_2257
SinmeB_0718,SinmeB_0547,SinmeB_1767
SinmeB_2251,SinmeB_0648,SinmeB_2604
SinmeB_0717,SinmeB_0884,SinmeB_6209
SinmeB_0547,SinmeB_6170,SinmeB_5352
SinmeB_0884,SinmeB_0973,SinmeB_0487
SinmeB_1003,SinmeB_5911,SinmeB_3139
SinmeB_2039,SinmeB_0420,SinmeB_0636
SinmeB_2758,SinmeB_2039,SinmeB_3092
SinmeB_0420,SinmeB_2099,SinmeB_1483
SinmeB_0993,SinmeB_0759,SinmeB_2255
SinmeB_0759,SinmeB_0547,SinmeB_2388
SinmeB_3169,SinmeB_1001,SinmeB_0437
SinmeB_2758,SinmeB_0974,SinmeB_0579
SinmeB_0547,SinmeB_0818,SinmeB_3139
SinmeB_0974,SinmeB_0437,SinmeB_0718
SinmeB_0818,SinmeB_0907,SinmeB_3014
SinmeB_4840,SinmeB_3014,SinmeB_0648
SinmeB_2281,SinmeB_4840,SinmeB_1003
