sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
353,SinmeB_1691,2055,501,551,1656,630,977
354,SinmeB_1692,551,977,1289,1201,1492,1656
355,SinmeB_1693,501,1233,1141,976,1597,1201
356,SinmeB_1694,1453,65,950,1019,2055,1029
357,SinmeB_1695,1498,723,1239,1453,952,847
358,SinmeB_1697,952,1584,1498,841,1915,20
359,SinmeB_1699,1915,1535,501,2048,1578,710
360,SinmeB_1703,524,2048,513,1233,1061,2048
361,SinmeB_1715,1584,1664,524,1027,1806,554
362,SinmeB_1747,1554,20,594,1554,1035,1066
363,SinmeB_1748,1578,1461,1140,2050,797,573
364,SinmeB_1749,1061,871,755,926,1453,1233
365,SinmeB_1750,1535,756,1087,33,922,742
366,SinmeB_1751,2053,574,1107,26,1318,410
367,SinmeB_1752,1806,1066,998,2,1719,692
368,SinmeB_1753,1035,1430,1584,2053,1554,1461
369,SinmeB_1756,797,549,799,712,1441,1500
370,SinmeB_1757,922,991,1506,409,698,1086
371,SinmeB_1758,1538,778,1535,1461,1126,919
372,SinmeB_1759,1318,1586,2015,93,1665,1534
373,SinmeB_1765,1719,590,1058,1538,1784,618
374,SinmeB_1766,1441,742,1750,549,2053,1283
375,SinmeB_1767,698,1544,9,1430,1289,702
376,SinmeB_1775,1126,122,1500,977,1283,1430
377,SinmeB_1776,1665,410,18,1586,845,1552
378,SinmeB_1784,122,1797,1299,1544,1538,858
379,SinmeB_1797,845,1510,1283,62,950,549
380,SinmeB_1802,1141,919,966,1510,1239,818
381,SinmeB_1803,513,1261,1534,20,1500,1586
382,SinmeB_1808,594,702,537,1616,1534,634
383,SinmeB_1826,1087,1552,1761,206,1140,1090
384,SinmeB_1849,1514,858,570,749,755,1544
385,SinmeB_1850,976,818,1014,1066,1742,1609
386,SinmeB_1851,1019,206,122,10,1107,1742
387,SinmeB_1852,1506,1088,1742,1514,998,2037
388,SinmeB_1871,1774,925,1609,705,1738,717
389,SinmeB_1876,2015,1090,1743,1493,1428,1428
390,SinmeB_1877,1058,1616,1280,809,799,1510
391,SinmeB_1878,1513,1493,613,1774,976,1738
392,SinmeB_1888,1750,2037,1630,742,1019,961
393,SinmeB_1900,841,521,1428,1654,1609,819
394,SinmeB_1901,1550,1654,1113,410,841,949
395,SinmeB_1907,1548,717,1738,556,1027,962
396,SinmeB_1908,1027,1513,954,1059,18,1069
397,SinmeB_1910,9,961,605,413,966,547
398,SinmeB_1931,1299,949,65,1438,537,793
399,SinmeB_1932,2050,943,1898,1548,1514,206
400,SinmeB_1934,926,693,723,919,2050,1502
401,SinmeB_1959,1532,1069,1029,702,1761,1616
