camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
SinmeB_5746,SM2011_c04277,SM2011_c00293,SM2011_c04277,SM2011_c01321,SM2011_c02092
SM2011_c00595,SM2011_c03010,SM2011_c01777,SinmeB_5988,SinmeB_5723,SinmeB_6162
SM2011_c01290,SM2011_c03253,SM2011_c01321,SM2011_c03253,SM2011_c03020,SM2011_c03020
SM2011_c04454,SM2011_c01756,SM2011_c04059,SM2011_c03010,SM2011_c04059,SM2011_c03011
SM2011_c01326,SM2011_c02436,SM2011_c04290,SM2011_c01756,SM2011_c04290,SinmeB_5811
SM2011_b21295,SM2011_c02050,SM2011_c03770,SM2011_c02436,SM2011_c01501,SM2011_c03006
SM2011_c03012,SM2011_c03012,SM2011_c01501,SM2011_c02050,SM2011_c00975,SM2011_c01317
SM2011_c01287,SM2011_c01803,SM2011_c00567,SM2011_c01803,SM2011_c00409,SM2011_c03807
SM2011_c00363,SinmeB_5816,SM2011_c00948,SM2011_c01206,SM2011_c00948,SM2011_c04277
SM2011_c03858,SM2011_c01206,SM2011_c03004,SinmeB_5723,SM2011_c03030,SM2011_c03253
SM2011_c00568,SM2011_b21435,SM2011_c00045,SM2011_b21435,SM2011_b21438,SM2011_c00888
SinmeB_5539,SM2011_c01316,SM2011_c00185,SM2011_c01316,SM2011_c01298,SM2011_c01756
SM2011_c03030,SM2011_c00590,SM2011_b21438,SM2011_c00590,SM2011_c02487,SM2011_c02436
SM2011_c04273,SM2011_c04336,SM2011_c02376,SM2011_c03030,SinmeB_5746,SM2011_c02050
SM2011_c03004,SM2011_c04319,SM2011_c03038,SM2011_c04336,SM2011_c02450,SM2011_c02073
SM2011_c04214,SM2011_c03770,SM2011_c02487,SM2011_c04319,SM2011_c00615,SM2011_c01803
SM2011_c01499,SM2011_c03004,SM2011_c02450,SM2011_c00975,SM2011_c00141,SinmeB_6050
SM2011_c01812,SM2011_c00567,SM2011_c00615,SM2011_c00409,SM2011_c01906,SM2011_c00293
SM2011_b20647,SM2011_c00045,SM2011_c00141,SM2011_c01349,SM2011_c03026,SM2011_c03041
SinmeB_5234,SM2011_c01349,SM2011_c00595,SM2011_c01298,SM2011_c01290,SM2011_c01777
SM2011_c03026,SM2011_c00185,SM2011_c01906,SinmeB_5810,SM2011_c03052,SM2011_c01206
SM2011_c01720,SM2011_c02376,SM2011_c04454,SinmeB_5746,SM2011_c01657,SM2011_c01321
SM2011_c00366,SM2011_c03038,SM2011_c01326,SM2011_c00495,SM2011_c01428,SM2011_b21435
SM2011_c00925,SinmeB_5810,SM2011_b21295,SM2011_c03026,SM2011_c00363,SM2011_c04059
SM2011_c03052,SM2011_c00495,SM2011_c01287,SM2011_c00427,SM2011_c03858,SM2011_c01316
SM2011_c00494,SM2011_c00427,SM2011_c03041,SM2011_c03881,SM2011_c03014,SM2011_c04290
SM2011_b21113,SM2011_c03881,SM2011_c01657,SM2011_b21377,SM2011_c00568,SM2011_c00590
SM2011_c03014,SM2011_c00595,SM2011_c01428,SM2011_c00528,SinmeB_6152,SM2011_c04336
SM2011_c00622,SM2011_b21377,SinmeB_6152,SM2011_c01290,SM2011_c02099,SM2011_c03024
