camp_lodi,camp_verb,lodi_verb
SMc00943,SMc02350,SMa1101
SMa1279,SMc00801,SMa1253
SMa1186,SMa0670,SMa1226
SMa1269,SMa1243,SMc03168
SMc02350,SMc03203,SM_b20991
SM_b20194,SM_b20954,SM_b20019
SMc03203,SM_b20194,SMc01875
SMc03788,SM_b21490,SM_b20201
SM_b20955,SMc01591,SMa1198
SM_b21490,SM_b20955,SMa1134
SM_b20099,SMc03788,SM_b20956
SM_b20100,SMa1073,SMa1131
SMa1126,SM_b20099,SMa0312
SMa1073,SMc01774,SMc00092
SMa1288,SMa1093,SM_b20201
SM_b20195,SMa1087,SM_b20195
SM_b21133,SM_b21133,SMa1122
SMa1213,SMa1179,SMa1183
SMa1155,SMa0669,SMa1821
SMa1289,SMa1288,SM_b20197
SM_b20096,SMa0815,SMa1166
SMa0773,SMa1210,SMa1084
SMa1132,SMa1169,SM_b20611
SMa1495,SMa0773,SMa1216
SMa1211,SM_b20604,SMa0604
SM_b21188,SMa1186,SMa1495
SMa1186,SMa1132,SMc03789
SMc00084,SMc00084,SMc00943
SMa0690,SM_b20991,SMc00801
SMa1163,SMa1211,SMa1243
SMa0760,SMa1194,SMa1269
SMa1149,SM_b20958,SMa1279
SM_b20099,SMa1163,SM_b20954
SM_b21191,SM_b20098,SMc01591
SMc01160,SMa1236,SMa1093
SMa1186,SMa0760,SM_b20100
SMa1239,SM_b20099,SMc01774
SMa1294,SMa1186,SMa1087
SMa1182,SMa1158,SMa1179
SMa1154,SM_b21191,SMa1126
SM_b20202,SMa1236,SMa0669
SMa1091,SMc01160,SM_b20195
SMa1231,SMa1239,SMa0815
SMa1183,SMa1294,SMa1213
SMc01160,SMa1182,SMa1210
SMc02156,SMa1153,SMa1155
SMc03251,SM_b20202,SMa1169
SMa1256,SMc03251,SM_b20096
SM_b20019,SMa1154,SMa1289
SM_b20202,SMc01160,SM_b20604
SM_b20194,SMa1273,SMa1495
SM_b20199,SM_b20958,SM_b21188
SM_b21287,SMa1231,SMa1194
SMa1239,SM_b20194,SM_b20991
SMa1118,SM_b20202,SMa0690
SMa1095,SM_b20197,SM_b20958
SMa1250,SMc02350,SMa1149
SMc02350,SM_b20724,SM_b20098
SMa1170,SMa1185,SMa1236
SMc00137,SMa1239,SMa1158
SMa0636,SMa1095,SMa1236
SMa1082,SMa1170,SMa1153
SMa0762,SMc00137,SM_b20019
SM_b20960,SMa1146,SMa1091
SMa1124,SMa0633,SMa1183
SMc01985,SMc00801,SMc02156
SM_b20725,SMa0636,SM_b20958
SMa1195,SMa1082,SMa1273
SM_b21440,SMa1124,SMa1256
SM_b20726,SM_b20725,SM_b21287
SMa1250,SMc01985,SM_b20197
SMa1147,SM_b21440,SM_b20199
SMa1255,SMa1195,SM_b20724
SM_b20726,SMa1220,SMa1185
SMa1134,SMa1147,SMa1118
SMa1220,SMa1255,SMa1250
SMa1118,SMa1201,SMa1146
SMa1198,SMa0772,SMc00801
SMa0682,SMa1182,SMa0633
SMa1176,SMa1261,SM_b20960
SMc03252,SMc00137,SMa0762
SMa0661,SMa1294,SM_b20726
SMa1182,SMa0687,SMa1250
SMa0630,SMa1266,SM_b20726
SMc00137,SMa0689,SMa1134
SMa0312,SMa1276,SMa1201
SMa1294,SM_b20198,SMa0772
SM_b20726,SMa1243,SMa1118
SMa1266,SMa1185,SMc03252
SMa0689,SM_b20724,SMa1198
SMa1240,SM_b20724,SMa1261
